,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.18333333333333332,0.18333333333333332,0.6324940951806624,0.10559290585315308
1,-2.0,-1.0,15.0,6.0,0.2222222222222222,0.2222222222222222,0.601010101010101,0.17989417989417988
2,-2.0,0.0,15.0,6.0,0.3277777777777778,0.3277777777777778,0.6326530612244898,0.2209667294413057
3,-2.0,1.0,15.0,6.0,0.5055555555555555,0.5055555555555555,0.8020473890039107,0.4122564186071758
4,-2.0,2.0,15.0,6.0,0.6,0.6,0.820791294475505,0.49575562108005566
5,-2.0,3.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
6,-2.0,4.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8905237048311628,0.5867968174076617
7,-2.0,5.0,15.0,6.0,0.7722222222222223,0.7722222222222223,0.9253187613843352,0.718687348316978
8,-2.0,6.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
9,-2.0,7.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
10,-2.0,8.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
11,-2.0,9.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
12,-1.0,-2.0,15.0,6.0,0.2111111111111111,0.2111111111111111,0.661097187412977,0.14065010505499936
13,-1.0,-1.0,15.0,6.0,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.14814814814814814
14,-1.0,0.0,15.0,6.0,0.2722222222222222,0.2722222222222222,0.6267605633802817,0.20675620675620673
15,-1.0,1.0,15.0,6.0,0.34444444444444444,0.34444444444444444,0.7448979591836735,0.24305198881470066
16,-1.0,2.0,15.0,6.0,0.4444444444444444,0.4444444444444444,0.7937710437710438,0.3417501358801149
17,-1.0,3.0,15.0,6.0,0.65,0.65,0.8353823149664967,0.5464292693619207
18,-1.0,4.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
19,-1.0,5.0,15.0,6.0,0.7944444444444444,0.7944444444444444,0.9191919191919191,0.7592314118629908
20,-1.0,6.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
21,-1.0,7.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
22,-1.0,8.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
23,-1.0,9.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
24,0.0,-2.0,15.0,6.0,0.2,0.2,0.6537037037037037,0.12932098765432098
25,0.0,-1.0,15.0,6.0,0.17222222222222222,0.17222222222222222,0.5293081275720165,0.11185471185471185
26,0.0,0.0,15.0,6.0,0.2611111111111111,0.2611111111111111,0.6622053872053871,0.1648110736999626
27,0.0,1.0,15.0,6.0,0.2722222222222222,0.2722222222222222,0.7025866138015671,0.17945093129243497
28,0.0,2.0,15.0,6.0,0.37222222222222223,0.37222222222222223,0.7341897233201582,0.2830290639922645
29,0.0,3.0,15.0,6.0,0.6,0.6,0.8236331569664903,0.5002574222174948
30,0.0,4.0,15.0,6.0,0.7722222222222223,0.7722222222222223,0.8875338753387534,0.6996403717715194
31,0.0,5.0,15.0,6.0,0.8833333333333333,0.8833333333333333,0.9391534391534391,0.8462928219025779
32,0.0,6.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
33,0.0,7.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
34,0.0,8.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
35,0.0,9.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
36,1.0,-2.0,15.0,6.0,0.4722222222222222,0.4722222222222222,0.8013718534551869,0.3626839808393609
37,1.0,-1.0,15.0,6.0,0.5611111111111111,0.5611111111111111,0.8150957975519378,0.46429638345703017
38,1.0,0.0,15.0,6.0,0.5777777777777777,0.5777777777777777,0.8175298053346833,0.4659281032688851
39,1.0,1.0,15.0,6.0,0.5944444444444444,0.5944444444444444,0.819157806962685,0.4969069806323311
40,1.0,2.0,15.0,6.0,0.6444444444444445,0.6444444444444445,0.8281023507909498,0.5630002695400192
41,1.0,3.0,15.0,6.0,0.7,0.7,0.8468013468013469,0.6233848510164299
42,1.0,4.0,15.0,6.0,0.7222222222222222,0.7222222222222222,0.856206335534501,0.6465908664490224
43,1.0,5.0,15.0,6.0,0.7611111111111111,0.7611111111111111,0.8743961352657005,0.6869427567101986
44,1.0,6.0,15.0,6.0,0.8111111111111111,0.8111111111111111,0.8986928104575163,0.7632162076606521
45,1.0,7.0,15.0,6.0,0.8666666666666667,0.8666666666666667,0.9217273954116059,0.8346223713540055
46,1.0,8.0,15.0,6.0,0.9444444444444444,0.9444444444444444,0.9581529581529581,0.9391534391534391
47,1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
48,2.0,-2.0,15.0,6.0,0.34444444444444444,0.34444444444444444,0.7700154858691444,0.3195685560198579
49,2.0,-1.0,15.0,6.0,0.37777777777777777,0.37777777777777777,0.7493546621466532,0.31070205860121825
50,2.0,0.0,15.0,6.0,0.4,0.4,0.7415181626563739,0.305076088318347
51,2.0,1.0,15.0,6.0,0.45555555555555555,0.45555555555555555,0.7608546947716373,0.3703429739647043
52,2.0,2.0,15.0,6.0,0.5444444444444444,0.5444444444444444,0.7984875207097429,0.4584526340623901
53,2.0,3.0,15.0,6.0,0.6277777777777778,0.6277777777777778,0.8246760217774711,0.5262093026798909
54,2.0,4.0,15.0,6.0,0.6555555555555556,0.6555555555555556,0.8313163662000872,0.5476894146956399
