,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.9055555555555556,0.9055555555555556,0.9489489489489489,0.8847359945758114
1,-2.0,-1.0,15.0,6.0,1.0,1.0,1.0,1.0
2,-2.0,0.0,15.0,6.0,1.0,1.0,1.0,1.0
3,-2.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
4,-2.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
5,-2.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
6,-2.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
7,-2.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
8,-2.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
9,-2.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
10,-2.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
11,-2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
12,-1.0,-2.0,15.0,6.0,0.7944444444444444,0.7944444444444444,0.888148888148888,0.7527316968886996
13,-1.0,-1.0,15.0,6.0,0.9888888888888889,0.9888888888888889,0.98989898989899,0.9888610414926206
14,-1.0,0.0,15.0,6.0,1.0,1.0,1.0,1.0
15,-1.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
16,-1.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
17,-1.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
18,-1.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
19,-1.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
20,-1.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
21,-1.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
22,-1.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
23,-1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
24,0.0,-2.0,15.0,6.0,0.6722222222222223,0.6722222222222223,0.8388701833146277,0.6064461273795522
25,0.0,-1.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7037037037037036
26,0.0,0.0,15.0,6.0,0.7944444444444444,0.7944444444444444,0.8933933933933934,0.7365878464276634
27,0.0,1.0,15.0,6.0,0.8722222222222222,0.8722222222222222,0.9299516908212561,0.8350909048583467
28,0.0,2.0,15.0,6.0,0.9277777777777778,0.9277777777777778,0.9562289562289562,0.9192483888500659
29,0.0,3.0,15.0,6.0,0.9777777777777777,0.9777777777777777,0.9814814814814816,0.9775533108866442
30,0.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
31,0.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
32,0.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
33,0.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
34,0.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
35,0.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
36,1.0,-2.0,15.0,6.0,0.2611111111111111,0.2611111111111111,0.8716349886059149,0.2256523142070343
37,1.0,-1.0,15.0,6.0,0.2,0.2,0.7547313797313797,0.17984189723320157
38,1.0,0.0,15.0,6.0,0.20555555555555555,0.20555555555555555,0.8677248677248677,0.20249880283836139
39,1.0,1.0,15.0,6.0,0.3,0.3,0.7612220702234384,0.271013871013871
40,1.0,2.0,15.0,6.0,0.34444444444444444,0.34444444444444444,0.7877679005727787,0.290336685700574
41,1.0,3.0,15.0,6.0,0.4111111111111111,0.4111111111111111,0.8330026455026456,0.35947235540731476
42,1.0,4.0,15.0,6.0,0.4888888888888889,0.4888888888888889,0.831276467029643,0.40460117635815496
43,1.0,5.0,15.0,6.0,0.4888888888888889,0.4888888888888889,0.8144137659641536,0.3956625186458383
44,1.0,6.0,15.0,6.0,0.4777777777777778,0.4777777777777778,0.8081332247998916,0.3753870134967221
45,1.0,7.0,15.0,6.0,0.5111111111111111,0.5111111111111111,0.8122343529900663,0.4093432255895406
46,1.0,8.0,15.0,6.0,0.5388888888888889,0.5388888888888889,0.8175456562553336,0.43387288316684974
47,1.0,9.0,15.0,6.0,0.6166666666666667,0.6166666666666667,0.8320707070707071,0.5198786876206231
48,2.0,-2.0,15.0,6.0,0.06111111111111111,0.06111111111111111,0.7354497354497355,0.08657822764102957
49,2.0,-1.0,15.0,6.0,0.07777777777777778,0.07777777777777778,0.8402777777777778,0.10570508396595353
50,2.0,0.0,15.0,6.0,0.1,0.1,0.8547008547008547,0.08695652173913043
51,2.0,1.0,15.0,6.0,0.08888888888888889,0.08888888888888889,0.8351254480286738,0.06971677559912853
52,2.0,2.0,15.0,6.0,0.12777777777777777,0.12777777777777777,0.8348348348348348,0.1136415919024615
53,2.0,3.0,15.0,6.0,0.24444444444444444,0.24444444444444444,0.8541666666666666,0.25325908659241997
54,2.0,4.0,15.0,6.0,0.35,0.35,0.8736432649476127,0.32719966905192915
55,2.0,5.0,15.0,6.0,0.4166666666666667,0.4166666666666667,0.8809099397334691,0.3712522045855379
56,2.0,6.0,15.0,6.0,0.48333333333333334,0.48333333333333334,0.8096388313779618,0.4369226885265378
57,2.0,7.0,15.0,6.0,0.5833333333333334,0.5833333333333334,0.8081925243215565,0.4920521744051156
58,2.0,8.0,15.0,6.0,0.6166666666666667,0.6166666666666667,0.8063372941421721,0.5163419942343479
59,2.0,9.0,15.0,6.0,0.6333333333333333,0.6333333333333333,0.8047452043147884,0.5231993018438593
