,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.0,0.0,1.0,0.0
1,-2.0,-1.0,15.0,6.0,0.0,0.0,1.0,0.0
2,-2.0,0.0,15.0,6.0,0.0,0.0,1.0,0.0
3,-2.0,1.0,15.0,6.0,0.0,0.0,1.0,0.0
4,-2.0,2.0,15.0,6.0,0.0,0.0,1.0,0.0
5,-2.0,3.0,15.0,6.0,0.0,0.0,1.0,0.0
6,-2.0,4.0,15.0,6.0,0.03333333333333333,0.03333333333333333,1.0,0.05128205128205128
7,-2.0,5.0,15.0,6.0,0.2222222222222222,0.2222222222222222,1.0,0.2222222222222222
8,-2.0,6.0,15.0,6.0,0.31666666666666665,0.31666666666666665,0.9444444444444444,0.2945326278659612
9,-2.0,7.0,15.0,6.0,0.4444444444444444,0.4444444444444444,0.8972033257747544,0.3755233494363929
10,-2.0,8.0,15.0,6.0,0.5722222222222222,0.5722222222222222,0.8888888888888888,0.5122655122655122
11,-2.0,9.0,15.0,6.0,0.7944444444444444,0.7944444444444444,0.8933933933933934,0.7365878464276634
12,-1.0,-2.0,15.0,6.0,0.0,0.0,1.0,0.0
13,-1.0,-1.0,15.0,6.0,0.0,0.0,1.0,0.0
14,-1.0,0.0,15.0,6.0,0.0,0.0,1.0,0.0
15,-1.0,1.0,15.0,6.0,0.0,0.0,1.0,0.0
16,-1.0,2.0,15.0,6.0,0.0,0.0,1.0,0.0
17,-1.0,3.0,15.0,6.0,0.0,0.0,1.0,0.0
18,-1.0,4.0,15.0,6.0,0.0,0.0,1.0,0.0
19,-1.0,5.0,15.0,6.0,0.03888888888888889,0.03888888888888889,1.0,0.05761316872427984
20,-1.0,6.0,15.0,6.0,0.26666666666666666,0.26666666666666666,1.0,0.2857142857142857
21,-1.0,7.0,15.0,6.0,0.3888888888888889,0.3888888888888889,0.9444444444444444,0.3703703703703703
22,-1.0,8.0,15.0,6.0,0.46111111111111114,0.46111111111111114,0.925925925925926,0.4262919045527741
23,-1.0,9.0,15.0,6.0,0.5722222222222222,0.5722222222222222,0.8888888888888888,0.5104669887278582
24,0.0,-2.0,15.0,6.0,0.2111111111111111,0.2111111111111111,0.6461412151067324,0.11601307189542484
25,0.0,-1.0,15.0,6.0,0.2222222222222222,0.2222222222222222,0.6794751640112465,0.14380681047347715
26,0.0,0.0,15.0,6.0,0.24444444444444444,0.24444444444444444,0.7075408742075409,0.17312238588834333
27,0.0,1.0,15.0,6.0,0.32222222222222224,0.32222222222222224,0.7381864623243934,0.21794871794871792
28,0.0,2.0,15.0,6.0,0.3333333333333333,0.3333333333333333,0.756294871109686,0.23478722872287225
29,0.0,3.0,15.0,6.0,0.3888888888888889,0.3888888888888889,0.7960588793922128,0.27854811333072205
30,0.0,4.0,15.0,6.0,0.45555555555555555,0.45555555555555555,0.8344809724120068,0.33946476803619663
31,0.0,5.0,15.0,6.0,0.55,0.55,0.8503673381722163,0.44340454410712027
32,0.0,6.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8611111111111112,0.45185185185185184
33,0.0,7.0,15.0,6.0,0.6444444444444445,0.6444444444444445,0.8680555555555556,0.5590828924162258
34,0.0,8.0,15.0,6.0,0.7722222222222223,0.7722222222222223,0.8875338753387534,0.6996403717715193
35,0.0,9.0,15.0,6.0,0.8055555555555556,0.8055555555555556,0.896825396825397,0.7548821548821548
36,1.0,-2.0,15.0,6.0,0.8055555555555556,0.8055555555555556,0.9275846621384379,0.7845982695802266
37,1.0,-1.0,15.0,6.0,0.9333333333333333,0.9333333333333333,0.955414653784219,0.9398560096234516
38,1.0,0.0,15.0,6.0,0.9777777777777777,0.9777777777777777,0.9802162410858063,0.9776800230572211
39,1.0,1.0,15.0,6.0,0.9166666666666666,0.9166666666666666,0.9461279461279462,0.9081094303426864
40,1.0,2.0,15.0,6.0,0.9388888888888889,0.9388888888888889,0.9605734767025089,0.9338892645180679
41,1.0,3.0,15.0,6.0,0.9388888888888889,0.9388888888888889,0.9605734767025089,0.9338892645180679
42,1.0,4.0,15.0,6.0,0.9166666666666666,0.9166666666666666,0.9523809523809524,0.9030303030303031
43,1.0,5.0,15.0,6.0,0.9222222222222223,0.9222222222222223,0.9542483660130718,0.9113643558088002
44,1.0,6.0,15.0,6.0,0.9111111111111111,0.9111111111111111,0.9506172839506173,0.8941798941798942
45,1.0,7.0,15.0,6.0,0.9333333333333333,0.9333333333333333,0.9583333333333334,0.9267399267399267
46,1.0,8.0,15.0,6.0,0.95,0.95,0.9655172413793104,0.9473337722185647
47,1.0,9.0,15.0,6.0,0.9833333333333333,0.9833333333333333,0.9855072463768116,0.983239053006495
48,2.0,-2.0,15.0,6.0,0.4722222222222222,0.4722222222222222,0.8798302946909757,0.45314640202407586
49,2.0,-1.0,15.0,6.0,0.5944444444444444,0.5944444444444444,0.876805087916199,0.5962729313002288
50,2.0,0.0,15.0,6.0,0.8055555555555556,0.8055555555555556,0.9206924315619969,0.7872146766415612
51,2.0,1.0,15.0,6.0,0.8777777777777778,0.8777777777777778,0.943089430894309,0.8449395170706645
52,2.0,2.0,15.0,6.0,0.8944444444444445,0.8944444444444445,0.9458689458689459,0.8704603619857857
53,2.0,3.0,15.0,6.0,0.9166666666666666,0.9166666666666666,0.9523809523809524,0.9030303030303031
54,2.0,4.0,15.0,6.0,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9407407407407407
55,2.0,5.0,15.0,6.0,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9407407407407407
56,2.0,6.0,15.0,6.0,0.9833333333333333,0.9833333333333333,0.9855072463768116,0.983239053006495
57,2.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
58,2.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
59,2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
