,random_horizontal_shift,random_vertical_scaling,n_iter,n_hiddens,accuracy,recall,precision,F1_score
0,0.1,0.5,15.0,5.0,0.73,0.73,0.7632561132561132,0.6893144199055733
1,0.1,0.5,15.0,6.0,0.73,0.73,0.7813268213268213,0.6971988976341672
2,0.1,0.5,15.0,7.0,0.745,0.745,0.8033510057194267,0.7145316047241544
3,0.1,0.5,30.0,5.0,0.725,0.725,0.7568793016619102,0.6839926873745383
4,0.1,0.5,30.0,6.0,0.745,0.745,0.8033510057194267,0.7145316047241544
5,0.1,0.5,30.0,7.0,0.715,0.715,0.7965133988818199,0.6906263972695952
6,0.1,0.5,50.0,5.0,0.725,0.725,0.7568793016619102,0.6839926873745383
7,0.1,0.5,50.0,6.0,0.725,0.725,0.7983893007577219,0.6989676005203428
8,0.1,0.5,50.0,7.0,0.745,0.745,0.8033510057194267,0.7145316047241544
9,0.1,1.0,15.0,5.0,1.0,1.0,1.0,1.0
10,0.1,1.0,15.0,6.0,1.0,1.0,1.0,1.0
11,0.1,1.0,15.0,7.0,1.0,1.0,1.0,1.0
12,0.1,1.0,30.0,5.0,1.0,1.0,1.0,1.0
13,0.1,1.0,30.0,6.0,1.0,1.0,1.0,1.0
14,0.1,1.0,30.0,7.0,1.0,1.0,1.0,1.0
15,0.1,1.0,50.0,5.0,1.0,1.0,1.0,1.0
16,0.1,1.0,50.0,6.0,1.0,1.0,1.0,1.0
17,0.1,1.0,50.0,7.0,1.0,1.0,1.0,1.0
18,0.1,10.0,15.0,5.0,0.1,0.1,0.91,0.018181818181818184
19,0.1,10.0,15.0,6.0,0.1,0.1,0.91,0.018181818181818184
20,0.1,10.0,15.0,7.0,0.1,0.1,0.91,0.018181818181818184
21,0.1,10.0,30.0,5.0,0.1,0.1,0.91,0.018181818181818184
22,0.1,10.0,30.0,6.0,0.1,0.1,0.91,0.018181818181818184
23,0.1,10.0,30.0,7.0,0.1,0.1,0.91,0.018181818181818184
24,0.1,10.0,50.0,5.0,0.1,0.1,0.91,0.018181818181818184
25,0.1,10.0,50.0,6.0,0.1,0.1,0.91,0.018181818181818184
26,0.1,10.0,50.0,7.0,0.1,0.1,0.91,0.018181818181818184
27,0.25,0.5,15.0,5.0,0.1,0.1,0.91,0.018181818181818184
28,0.25,0.5,15.0,6.0,0.1,0.1,0.91,0.018181818181818184
29,0.25,0.5,15.0,7.0,0.1,0.1,0.91,0.018181818181818184
30,0.25,0.5,30.0,5.0,0.1,0.1,0.91,0.018181818181818184
31,0.25,0.5,30.0,6.0,0.1,0.1,0.91,0.018181818181818184
32,0.25,0.5,30.0,7.0,0.1,0.1,0.91,0.018181818181818184
33,0.25,0.5,50.0,5.0,0.1,0.1,0.91,0.018181818181818184
34,0.25,0.5,50.0,6.0,0.1,0.1,0.91,0.018181818181818184
35,0.25,0.5,50.0,7.0,0.1,0.1,0.91,0.018181818181818184
36,0.25,1.0,15.0,5.0,0.1,0.1,0.91,0.018181818181818184
37,0.25,1.0,15.0,6.0,0.1,0.1,0.91,0.018181818181818184
38,0.25,1.0,15.0,7.0,0.1,0.1,0.91,0.018181818181818184
39,0.25,1.0,30.0,5.0,0.1,0.1,0.91,0.018181818181818184
40,0.25,1.0,30.0,6.0,0.1,0.1,0.91,0.018181818181818184
41,0.25,1.0,30.0,7.0,0.1,0.1,0.91,0.018181818181818184
42,0.25,1.0,50.0,5.0,0.1,0.1,0.91,0.018181818181818184
43,0.25,1.0,50.0,6.0,0.1,0.1,0.91,0.018181818181818184
44,0.25,1.0,50.0,7.0,0.1,0.1,0.91,0.018181818181818184
45,0.25,10.0,15.0,5.0,0.1,0.1,0.91,0.018181818181818184
46,0.25,10.0,15.0,6.0,0.1,0.1,0.91,0.018181818181818184
47,0.25,10.0,15.0,7.0,0.1,0.1,0.91,0.018181818181818184
48,0.25,10.0,30.0,5.0,0.1,0.1,0.91,0.018181818181818184
49,0.25,10.0,30.0,6.0,0.1,0.1,0.91,0.018181818181818184
50,0.25,10.0,30.0,7.0,0.1,0.1,0.91,0.018181818181818184
51,0.25,10.0,50.0,5.0,0.1,0.1,0.91,0.018181818181818184
52,0.25,10.0,50.0,6.0,0.1,0.1,0.91,0.018181818181818184
53,0.25,10.0,50.0,7.0,0.1,0.1,0.91,0.018181818181818184
54,0.4,0.5,15.0,5.0,0.105,0.105,0.8205263157894737,0.025714285714285717
